"Kontingen Indonesia berhasil membawa pulang 20 medali dari kejuaraan renang 
43rd SEA Age Group Swimming Championship 2019 di Phnom Penh, Kamboja,
 28-30 Juni 2019. Dari 20 medali, 10 merupakan medali emas yang disumbang
 Azzahra dan kawan-kawan.";Olahraga
"Lima medali emas, tiga perak dan dua perunggu direbut tim pelatnas
paracycling National Paralympic Committee Indonesia (NPCI) pada 
kejuaraan internasional di Thailand, pekan lalu. Tiga dari lima emas
 itu digenggam pembalap sepeda asal Salatiga, M Habib Saleh.";Olahraga
"Jajaran pengurus Cabang Persatuan Tenis Meja Seluruh Indonesia
 (PTMSI) Kabupaten Blora terus menggali poteni atlet-atlet tenis meja
 Blora, untuk dikembangkan menjadi atlet profesional yang bisa 
mengharumkan nama Blora.";Olahraga
" Pelatih Brasil, Tite mengaku tak bisa tidur jelang laga Brasil 
menghadapi Argentina di semifinal Copa America 2019. 
Saking merasa was-was, Tite sampai membuat semacam catatan 
untuk pertandingan. ""Saya beri tahu, saya merasa waswas. Saya tak 
bisa tidur dan tidak akan tidur lagi malam ini,"" kata Tite, seperti dilansir 
Fox Sports.";Olahraga
"Barcelona dinilai Pep Guardiola masih layak ditakuti di level Eropa kendati
sudah beberapa musim terakhir tidak juara Liga Champions. Musim 2014/2015
 jadi terakhir kalinya Barcelona menjuarai Liga Champions saat merangkai treble
 dengan juga memenangi Liga Spanyol dan Copa del Rey.";Olahraga
"Neymar dipastikan tetap absen di tiga laga kompetisi Eropa musim
 depan, apapun klubnya nanti, setelah banding Paris St. Germain 
untuk hukumannya ditolak UEFA. Neymar mendapat skorsing tersebut 
seiring unggahan kata-kata kasar terhadap ofisial pertandingan di 
media sosial, saat PSG disingkirkan Manchester United di 16 besar
 Liga Champions 2018/19.";Olahraga
"Usai berakhirnya gelaran Liga Champions 2018/2019,  UEFA merilis
 skuat terbaik alias Champions League Squad of the Season 
2018/2019. Sebanyak 20 pemain masuk dalam daftarnya, di mana
 Liverpool yang menjadi juara mendominasi.";Olahraga
"Juergen Klopp diharap keluarganya untuk bisa mengangkat trofi juara
. Klopp sendiri empat kali merasakan partai final, yakni sekali bersama
 Borussia Dortmund, dan tiga kali bersama Liverpool. Namun semua 
berakhir dengan kekalahan.";Olahraga
"Chelsea dibawa Sarri memenangi Liga Europa usai mengalahkan 
Arsenal 4-1 di Baku Olympic Stadium, Kamis (30/5) dinihari WIB. 
Empat gol itu didapatkan dari Olivier Giroud, Pedro Rodriguez, 
dan Eden Hazard (2 gol). Dengan keberhasilan tersebut, Chelsea 
menjalani musim yang relatif bagus secara keseluruhan.";Olahraga
" Laga final Liga Europa melawan Arsenal mungkin menjadi laga 
terakhir Eden Hazard bersama Chelsea. Pemain Belgia itu memberi 
indikasi kalau ia sudah memainkan laga terakhirnya untuk Chelsea 
sekaligus menginginkan tantangan baru.";Olahraga
